ID	Individual_ID	PS	Platform	Tag	Technology	Instrument
HG01123_PS00971_PacBio	HG01123	PS00971	PacBio	HPRC_pilot	Fiber-seq	Revio
HG01258_PS00972_PacBio	HG01258	PS00972	PacBio	HPRC_pilot	Fiber-seq	Revio
HG01358_PS00973_PacBio	HG01358	PS00973	PacBio	HPRC_pilot	Fiber-seq	Revio
HG01361_PS00974_PacBio	HG01361	PS00974	PacBio	HPRC_pilot	Fiber-seq	Revio
HG01891_PS00975_PacBio	HG01891	PS00975	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02071_PS00976_PacBio	HG02071	PS00976	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02074_PS00977_PacBio	HG02074	PS00977	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02132_PS00978_PacBio	HG02132	PS00978	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02135_PS00979_PacBio	HG02135	PS00979	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02257_PS00980_PacBio	HG02257	PS00980	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02486_PS00981_PacBio	HG02486	PS00981	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02559_PS00982_PacBio	HG02559	PS00982	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02572_PS00983_PacBio	HG02572	PS00983	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02717_PS00984_PacBio	HG02717	PS00984	PacBio	HPRC_pilot	Fiber-seq	Revio
HG02886_PS00985_PacBio	HG02886	PS00985	PacBio	HPRC_pilot	Fiber-seq	Revio
HG03516_PS00986_PacBio	HG03516	PS00986	PacBio	HPRC_pilot	Fiber-seq	Revio
HG03804_PS00987_PacBio	HG03804	PS00987	PacBio	HPRC_pilot	Fiber-seq	Revio
HG03942_PS00988_PacBio	HG03942	PS00988	PacBio	HPRC_pilot	Fiber-seq	Revio
HG04160_PS00989_PacBio	HG04160	PS00989	PacBio	HPRC_pilot	Fiber-seq	Revio
HG04187_PS00990_PacBio	HG04187	PS00990	PacBio	HPRC_pilot	Fiber-seq	Revio
HG00438_PS00991_ONT	HG00438	PS00991	ONT	HPRC_pilot	Fiber-seq	PromethION
HG00621_PS00992_ONT	HG00621	PS00992	ONT	HPRC_pilot	Fiber-seq	PromethION
HG00673_PS00993_ONT	HG00673	PS00993	ONT	HPRC_pilot	Fiber-seq	PromethION
HG00735_PS00994_ONT	HG00735	PS00994	ONT	HPRC_pilot	Fiber-seq	PromethION
HG00741_PS00995_ONT	HG00741	PS00995	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01071_PS00996_ONT	HG01071	PS00996	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01106_PS00997_ONT	HG01106	PS00997	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01175_PS00998_ONT	HG01175	PS00998	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01358_PS00999_ONT	HG01358	PS00999	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01891_PS01000_ONT	HG01891	PS01000	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01928_PS01001_ONT	HG01928	PS01001	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01952_PS01002_ONT	HG01952	PS01002	ONT	HPRC_pilot	Fiber-seq	PromethION
HG01978_PS01003_ONT	HG01978	PS01003	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02148_PS01004_ONT	HG02148	PS01004	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02486_PS01006_ONT	HG02486	PS01006	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02559_PS01007_ONT	HG02559	PS01007	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02622_PS01008_ONT	HG02622	PS01008	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02630_PS01009_ONT	HG02630	PS01009	ONT	HPRC_pilot	Fiber-seq	PromethION
HG03453_PS01010_ONT	HG03453	PS01010	ONT	HPRC_pilot	Fiber-seq	PromethION
HG03540_PS01011_ONT	HG03540	PS01011	ONT	HPRC_pilot	Fiber-seq	PromethION
HG03579_PS01012_ONT	HG03579	PS01012	ONT	HPRC_pilot	Fiber-seq	PromethION
HG04157_PS01013_ONT	HG04157	PS01013	ONT	HPRC_pilot	Fiber-seq	PromethION
HG02257_PS01337_ONT	HG02257	PS01337	ONT	HPRC_pilot	Fiber-seq	PromethION
HG002_PS01015_PacBio	HG002	PS01015	PacBio	HPRC_pilot	Fiber-seq	Revio
HG002	HG002	NA	PacBio	HPRC_pilot	Fiber-seq	Revio
GM12878_PM00001_PacBio	GM12878	PM00001	PacBio 	HPRC_pilot	Fiber-seq	Revio
