Sample ID	Alternative ID	Biosample Accession	Population Descriptor	Population Abbreviation	Family ID	Maternal ID	Paternal ID	Trio Available	Sex	Tissue	Project	Contributors	Collection
CHM13	Unspecified	SAMN03255769	N/A	N/A	Unspecified	Unspecified	Unspecified	false	N/A	N/A	extramural	T2T Consortium	N/A
GRCh38	Unspecified	SAMN12121739	N/A	N/A	Unspecified	Unspecified	Unspecified	false	N/A	N/A	extramural	Human Genome Project	N/A
HG002	NA24385	SAMN03283347	N/A	N/A	Unspecified	NA24695	NA24694	true	male	N/A	extramural	NHGRI-NIST	GIAB
HG005	NA26107	SAMN03283350	N/A	N/A	Unspecified	HG004	HG003	true	male	B-Lymphocyte	extramural	NHGRI-NIST	GIAB
HG00097	Unspecified	SAMN41021660	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00099	Unspecified	SAMN33758778	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00126	Unspecified	SAMN41021637	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00128	Unspecified	SAMN41021641	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00133	Unspecified	SAMN41021638	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00140	Unspecified	SAMN33621941	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00146	Unspecified	SAMN41021634	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00232	Unspecified	SAMN41021635	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00235	Unspecified	SAMN41021667	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00253	Unspecified	SAMN41021666	British from England and Scotland	GBR	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00272	Unspecified	SAMN41021659	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00280	Unspecified	SAMN33758779	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00290	Unspecified	SAMN41021639	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00320	Unspecified	SAMN41021632	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00321	Unspecified	SAMN41021636	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00323	Unspecified	SAMN33621942	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00329	Unspecified	SAMN41021646	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	male	B-Lymphocyte	HPRC	NIH	1000G
HG00344	Unspecified	SAMN41021653	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00350	Unspecified	SAMN41021654	Finnish in Finland	FIN	Unspecified	Unspecified	Unspecified	false	female	B-Lymphocyte	HPRC	NIH	1000G
HG00408	Unspecified	SAMN33621943	Han Chinese South, China	CHS	SH002	HG00407	HG00406	true	female	B-Lymphocyte	HPRC	NIH	1000G
HG00423	Unspecified	SAMN26237490	Han Chinese South, China	CHS	SH007	HG00422	HG00421	true	female	B-Lymphocyte	HPRC	NIH	1000G
HG00438	Unspecified	SAMN17861652	Han Chinese South, China	CHS	SH012	HG00437	HG00436	true	female	B-Lymphocyte	HPRC	NIH	1000G
HG00544	Unspecified	SAMN26237491	Han Chinese South, China	CHS	SH042	HG00543	HG00542	true	female	B-Lymphocyte	HPRC	NIH	1000G
HG00558	Unspecified	SAMN33758780	Han Chinese South, China	CHS	SH045	HG00557	HG00556	true	female	B-Lymphocyte	HPRC	NIH	1000G
HG00597	Unspecified	SAMN33621944	Han Chinese South, China	CHS	SH058	HG00596	HG00595	true	female	B-Lymphocyte	HPRC	NIH	1000G
