sample_id	haplotype	n_windows	x1	x2	sd_x1	sd_x2	mean_score
HG00133	2	26035	0.431369	-1.326090	0.056059	0.087543	990.3
HG00128	1	26047	0.427439	-1.327521	0.077049	0.070811	990.6
HG00099	2	26028	0.431349	-1.330237	0.021387	0.068596	990.4
HG00128	2	26009	0.428714	-1.332366	0.020270	0.088025	992.1
HG00097	1	26036	0.430067	-1.335671	0.018738	0.043871	992.6
HG00126	2	26057	0.430618	-1.329775	0.039550	0.059466	990.5
HG00133	1	25949	0.430383	-1.333888	0.019977	0.046097	991.3
HG00140	2	26030	0.431275	-1.328020	0.058630	0.064141	991.0
HG002	1	25744	0.423617	-1.267718	0.065960	0.217956	960.1
HG00232	1	26030	0.431658	-1.334476	0.018953	0.050450	993.0
HG00146	1	26023	0.431974	-1.324621	0.017968	0.065064	988.9
HG00235	1	26063	0.429448	-1.332734	0.019213	0.040185	992.4
HG00146	2	26049	0.432128	-1.330143	0.019816	0.050467	990.6
HG002	2	25478	0.416784	-1.250461	0.160135	0.303896	963.4
HG00253	1	25995	0.428146	-1.337873	0.019615	0.046928	992.6
HG00253	2	26023	0.430345	-1.332981	0.020938	0.048425	990.5
HG00280	1	25782	0.476569	-1.233663	0.025071	0.136762	983.2
HG00280	2	25851	0.472407	-1.246610	0.024192	0.083185	985.2
HG00290	1	25790	0.479215	-1.221337	0.028836	0.130960	982.0
HG00290	2	25798	0.474664	-1.237224	0.024567	0.135284	982.9
HG00320	1	25593	0.466992	-1.244212	0.037404	0.209842	982.4
HG00235	2	26010	0.430980	-1.332321	0.021048	0.044194	990.3
HG00232	2	26038	0.429708	-1.330983	0.019431	0.042165	992.5
HG00321	1	25708	0.475142	-1.231282	0.025428	0.137418	977.9
HG00320	2	25749	0.468896	-1.246525	0.027626	0.138833	982.3
HG00099	1	26029	0.430424	-1.330014	0.045224	0.052467	991.6
HG00321	2	25739	0.469891	-1.238367	0.027713	0.165404	979.8
HG00323	1	25699	0.480259	-1.227741	0.024926	0.064166	984.4
HG00329	1	25774	0.465997	-1.259076	0.029167	0.098727	986.2
HG00344	1	25860	0.447968	-1.298264	0.027170	0.099858	987.9
HG00329	2	25874	0.457352	-1.276314	0.026447	0.124037	987.0
HG00344	2	25668	0.451419	-1.281403	0.048785	0.148199	981.3
HG00350	1	25979	0.449350	-1.298302	0.021449	0.070753	991.3
HG00350	2	25906	0.450631	-1.295778	0.026367	0.053065	989.1
HG00408	1	25961	0.746254	1.408410	0.021722	0.091777	993.4
HG00408	2	26019	0.746640	1.410909	0.019229	0.028145	994.0
HG00097	2	26031	0.429245	-1.333914	0.023819	0.046877	992.0
HG00423	1	26021	0.746064	1.403448	0.024908	0.124811	993.5
HG00423	2	25986	0.746738	1.409594	0.019862	0.059652	993.7
CHM13	0	25987	0.432174	-1.320034	0.024609	0.145655	989.3
HG00438	2	25925	0.745249	1.401242	0.025656	0.143182	991.5
HG005	1	25990	0.746247	1.409862	0.037281	0.046054	992.5
HG00544	2	26020	0.745530	1.403882	0.023527	0.117167	991.7
HG00126	1	26011	0.428738	-1.331882	0.018710	0.058746	991.7
HG005	2	25920	0.744445	1.391617	0.029882	0.195394	988.2
HG00558	1	25994	0.745203	1.404519	0.046040	0.128385	993.9
HG00558	2	25972	0.746148	1.411395	0.038352	0.041895	994.8
HG00597	1	25999	0.746181	1.409892	0.038636	0.064939	993.3
HG00621	1	25943	0.746464	1.409948	0.019861	0.050393	993.3
HG00621	2	25990	0.745626	1.404878	0.023408	0.106600	991.4
HG00140	1	26051	0.430566	-1.330805	0.018832	0.047312	990.0
HG00597	2	25977	0.746597	1.410804	0.018966	0.029639	995.2
HG00642	1	25325	0.357997	-1.097550	0.432035	0.552325	944.7
HG00658	1	25979	0.745501	1.407383	0.041738	0.095934	994.2
HG00642	2	24999	0.290840	-0.957697	0.574816	0.647821	924.3
HG00639	2	24887	0.144845	-0.877505	0.762457	0.709846	926.4
HG00609	1	26013	0.745956	1.405217	0.022603	0.101317	994.2
HG00658	2	25966	0.746112	1.407863	0.029612	0.083927	993.0
HG00673	1	25990	0.746757	1.409886	0.019460	0.042220	994.8
HG00673	2	26031	0.746337	1.409503	0.018677	0.028245	992.4
HG00706	1	25985	0.745059	1.408791	0.064861	0.056413	991.4
HG00706	2	26034	0.746401	1.409714	0.019163	0.034840	994.0
HG00733	1	25370	0.419357	-1.182527	0.212573	0.455851	959.1
HG00544	1	25935	0.745884	1.406559	0.036861	0.094339	993.1
HG00735	1	25453	0.281343	-1.023817	0.587516	0.616573	948.6
HG00738	2	25383	0.288390	-1.031553	0.568418	0.616666	944.4
HG00741	1	25457	0.376522	-1.172877	0.368101	0.473431	960.6
HG00323	2	25765	0.473908	-1.240669	0.027630	0.093161	983.1
HG00741	2	24919	0.136555	-0.812612	0.785434	0.734402	925.7
HG00738	1	25311	0.355784	-1.042183	0.453527	0.599321	946.5
HG01071	2	25139	0.370983	-1.018246	0.416925	0.628915	926.7
HG01071	1	25071	0.319351	-0.952441	0.533380	0.649984	924.5
HG00639	1	25221	0.187924	-0.920002	0.712165	0.679040	937.2
HG01074	2	24773	0.296846	-0.948896	0.572969	0.674451	920.1
HG01081	2	25050	0.329071	-0.864223	0.538124	0.723565	918.0
HG01106	1	24973	0.293454	-0.989733	0.569229	0.646389	932.8
HG01106	2	25327	0.295648	-1.088153	0.546801	0.573273	948.6
HG01099	2	25030	0.259994	-0.906866	0.633670	0.705652	925.7
HG01109	2	25495	-0.952229	-0.245298	1.054045	0.695890	969.1
HG01123	1	25310	0.450073	-0.740579	0.325672	0.785319	907.7
HG00438	1	25968	0.745831	1.405003	0.037182	0.108166	992.9
HG01123	2	25347	0.357693	-0.850728	0.508037	0.747285	924.0
HG01150	1	25173	0.354185	-0.847811	0.513488	0.721799	911.2
HG01081	1	25035	0.090758	-0.866405	0.816268	0.697646	937.5
HG01150	2	25229	0.318058	-0.429084	0.657752	0.823965	893.1
HG01167	1	25103	-0.135113	-0.691142	0.979779	0.762858	939.8
HG00733	2	25070	0.368789	-1.006517	0.432861	0.637064	929.5
HG01175	2	25286	0.311126	-0.979695	0.548033	0.675030	937.5
HG01243	1	25438	-0.919230	-0.234797	1.067594	0.696033	960.3
HG00609	2	26036	0.746197	1.408559	0.020672	0.079718	995.1
HG01192	2	24941	0.303171	-0.894154	0.578975	0.700065	925.0
HG01074	1	25081	0.345354	-1.026870	0.476345	0.603040	933.5
HG01099	1	24876	0.312257	-0.966741	0.549997	0.652714	925.8
HG00735	2	24929	0.272314	-0.868619	0.626798	0.718655	922.7
HG01175	1	25026	0.356520	-1.202592	0.377711	0.422096	957.0
HG01243	2	25377	-0.871508	-0.333262	1.073216	0.732800	968.5
HG01255	1	25154	0.372095	-0.853565	0.472146	0.736744	917.6
HG01255	2	25033	0.176540	-0.522470	0.801593	0.824144	895.2
HG01258	1	25414	0.448469	-1.071436	0.143432	0.568814	935.9
HG01252	1	25091	0.266305	-0.678101	0.675983	0.801946	909.4
HG01192	1	25134	0.147476	-0.659557	0.803689	0.776868	902.0
HG01346	2	25342	0.405115	-0.922571	0.389412	0.698078	912.7
HG01358	2	25250	0.480593	-0.743244	0.200059	0.764775	899.2
HG01358	1	25203	0.411524	-0.699474	0.437379	0.789719	903.8
HG01167	2	25016	0.062968	-0.792841	0.848227	0.742480	933.1
HG01109	1	25133	-0.012038	-0.779946	0.902484	0.756619	947.0
HG01346	1	25196	0.445164	-0.548244	0.410840	0.803362	888.5
HG01261	2	25171	0.230193	-0.590260	0.735176	0.792464	913.7
HG01361	2	24934	0.362486	-0.819551	0.500642	0.760388	903.4
HG01261	1	25510	0.396302	-1.049157	0.357530	0.620972	940.6
HG01433	1	25218	0.188524	-0.689341	0.760096	0.775033	919.9
HG01530	1	25666	0.405531	-1.315073	0.197212	0.148078	983.5
HG01433	2	25404	0.444824	-0.848053	0.295368	0.743919	916.7
HG01496	2	25345	0.201937	-0.401605	0.796234	0.826678	897.2
HG01496	1	25219	0.301056	-0.417836	0.689608	0.807485	880.2
HG01786	2	25928	0.425991	-1.327393	0.036257	0.056470	988.1
HG01786	1	25855	0.422682	-1.323974	0.093804	0.108572	987.3
HG01784	2	25681	0.414908	-1.324278	0.121782	0.103056	983.7
HG01884	1	25935	-1.590311	0.097051	0.544339	0.378200	993.1
HG01884	2	25942	-1.546448	0.074487	0.641475	0.425086	990.5
HG01891	2	25933	-1.671778	0.154289	0.381446	0.261948	995.0
HG01928	1	25994	0.623174	0.353178	0.140957	0.296178	950.7
HG01928	2	26021	0.624169	0.308032	0.069861	0.354591	940.0
HG01934	1	25826	0.587424	0.054613	0.151972	0.640787	910.9
HG01940	1	26050	0.626813	0.361310	0.113270	0.245425	950.7
HG01252	2	25244	0.412552	-0.816534	0.399264	0.758087	915.1
HG01934	2	25732	0.428718	0.085176	0.604339	0.736138	899.1
HG01258	2	25196	0.462293	-0.830568	0.239245	0.744671	899.4
HG01940	2	25678	0.526213	0.034721	0.383528	0.640136	909.6
HG01943	1	25841	0.541037	0.181803	0.391024	0.536272	912.4
HG01943	2	25813	0.599268	0.198243	0.180107	0.486876	922.3
HG01784	1	25675	0.415443	-1.317083	0.132946	0.157279	984.6
HG01960	2	25830	-1.357999	-0.057052	0.823446	0.564751	989.1
HG01960	1	25917	-0.842833	-0.435061	1.077178	0.758854	989.2
HG01361	1	25287	0.411589	-0.809782	0.398827	0.730630	901.2
HG01530	2	25690	0.398360	-1.310564	0.228917	0.174627	984.0
HG01975	2	25869	0.490916	0.198595	0.524471	0.512108	923.3
HG01952	1	25918	0.511497	0.217354	0.489197	0.518610	943.6
HG01975	1	26013	0.595114	0.319491	0.270760	0.329869	936.3
HG01978	2	25510	0.571819	-0.062418	0.152096	0.720146	894.9
HG01981	1	25652	0.577200	-0.043964	0.146533	0.699548	895.8
HG01993	1	25691	0.563380	-0.002106	0.239910	0.714299	902.8
HG01981	2	25714	0.486058	-0.086958	0.458130	0.734075	919.9
HG01978	1	25690	0.593793	0.096847	0.126770	0.610751	914.4
HG01891	1	25898	-1.457271	0.020541	0.734720	0.500000	989.1
HG01993	2	25801	0.612870	0.284567	0.158137	0.411121	930.7
HG01969	2	25968	0.623579	0.320661	0.096638	0.353599	937.7
HG01952	2	26019	0.582388	0.346287	0.333349	0.272158	943.8
HG02015	1	25549	0.737894	1.351626	0.060414	0.302715	977.0
HG02015	2	25255	0.729845	1.294262	0.060111	0.383214	947.2
HG02040	2	25769	0.740136	1.366050	0.040700	0.266193	982.9
HG02055	1	25967	-1.608488	0.114377	0.531321	0.358233	994.0
HG02055	2	25924	-1.390488	-0.036451	0.807541	0.561615	991.4
HG02027	2	25539	0.743103	1.387534	0.029583	0.168320	981.4
HG02056	2	25822	0.743177	1.386696	0.032254	0.183891	984.1
HG02071	1	25745	0.743236	1.392866	0.047696	0.173678	988.5
HG02027	1	25887	0.745916	1.406851	0.020898	0.073421	992.6
HG02071	2	25577	0.739672	1.373298	0.063070	0.232633	977.7
HG02074	1	25875	0.742504	1.385004	0.040684	0.199763	985.5
HG02056	1	25422	0.735961	1.332257	0.045187	0.313494	955.1
HG02074	2	25700	0.740100	1.374074	0.059511	0.236597	981.7
HG02080	2	25757	0.743368	1.390070	0.028896	0.157135	984.8
HG02080	1	25837	0.742440	1.382032	0.035924	0.229963	986.9
HG01969	1	25728	0.531117	-0.245292	0.253621	0.800874	904.9
HG02083	1	25623	0.741117	1.374038	0.037431	0.242250	981.8
HG02109	1	26030	-1.679530	0.158733	0.369529	0.253371	994.7
HG02109	2	25827	-1.340454	-0.068897	0.852624	0.591604	988.1
HG02083	2	25626	0.739671	1.363003	0.039326	0.272410	980.3
HG02129	2	25768	0.742603	1.383372	0.032695	0.213263	984.4
HG02004	2	25721	0.602893	0.144961	0.106899	0.585144	924.0
HG02135	1	25873	0.742651	1.379488	0.036193	0.231184	985.9
HG02145	1	25803	-1.259391	-0.098622	0.916616	0.640907	990.4
HG02129	1	25318	0.729370	1.287356	0.058355	0.382030	938.0
HG02145	2	25972	-1.633723	0.122790	0.483773	0.344778	993.9
HG02155	2	25908	0.744929	1.402728	0.051484	0.124937	989.5
HG02004	1	25781	0.577594	0.057670	0.215086	0.636751	904.6
HG02132	1	25744	0.739432	1.357316	0.044809	0.304421	980.9
HG02148	2	25907	0.614411	0.220891	0.089578	0.493355	936.9
